AGB (kg),NDVI,SAVI,EVI,GNDVI,WDVI,SR,NDWI,NDI45,MTCI,RENDVI
1226.103159636492364,0.22468,0.33696,0.36401,0.24456,1153.00000,1.57959,-0.25797,0.06110,1.98561,0.16586
364.224062600694594,0.25095,0.37635,0.41147,0.27709,1156.00000,1.67004,-0.24743,0.07143,1.76316,0.18280
364.224062600694594,0.28234,0.42344,0.46972,0.30418,1213.50000,1.78685,-0.23182,0.08845,1.43169,0.19886
836.404260644062902,0.25618,0.38420,0.42106,0.27956,1234.00000,1.68882,-0.23700,0.08223,1.37097,0.17770
836.404260644062902,0.24918,0.37370,0.40824,0.28625,1197.50000,1.66375,-0.24681,0.08777,1.42424,0.16502
1717.916123420661961,0.24389,0.36577,0.39861,0.27418,1274.50000,1.64510,-0.22333,0.06784,2.05556,0.17901
1717.916123420661961,0.25366,0.38042,0.41644,0.26334,1263.50000,1.67974,-0.23479,0.08579,1.56716,0.17161
364.224062600694594,0.26183,0.39267,0.43147,0.28488,1169.50000,1.70941,-0.24296,0.08036,1.63314,0.18537
364.224062600694594,0.27448,0.41164,0.45496,0.28388,1182.50000,1.75664,-0.24000,0.08994,1.42473,0.18921
1717.916123420661961,0.24975,0.37456,0.40929,0.29130,1318.50000,1.66578,-0.20607,0.05632,2.47407,0.19619
1717.916123420661961,0.26891,0.40330,0.44460,0.29129,1355.50000,1.73564,-0.20218,0.06837,2.02484,0.20430
1717.916123420661961,0.24495,0.36737,0.40055,0.28205,1289.00000,1.64884,-0.20703,0.03979,3.48387,0.20718
1717.916123420661961,0.30038,0.45049,0.50397,0.31126,1375.00000,1.85870,-0.19821,0.08911,1.65152,0.21708
566.615940027910597,0.27410,0.41108,0.45426,0.28823,1205.00000,1.75521,-0.24423,0.10238,1.33333,0.17668
472.496385212390180,0.25180,0.37763,0.41303,0.28599,1155.50000,1.67310,-0.24800,0.08627,1.60215,0.16921
472.496385212390180,0.24101,0.36145,0.39338,0.25981,1126.00000,1.63508,-0.25460,0.08191,1.44068,0.16231
472.496385212390180,0.23191,0.34780,0.37696,0.26380,1142.50000,1.60386,-0.24989,0.05995,1.84848,0.17439
566.615940027910597,0.25968,0.38944,0.42749,0.28135,1183.50000,1.70152,-0.24776,0.08244,1.64407,0.18111
566.615940027910597,0.24455,0.36675,0.39980,0.26977,1113.00000,1.64742,-0.26999,0.08491,1.51111,0.16303
472.496385212390180,0.27461,0.41184,0.45521,0.29571,1232.00000,1.75714,-0.23039,0.10787,1.20675,0.17183
472.496385212390180,0.25177,0.37758,0.41297,0.28180,1180.00000,1.67296,-0.24394,0.08877,1.36735,0.16672
566.615940027910597,0.24627,0.36933,0.40292,0.25443,1135.00000,1.65346,-0.26263,0.07779,1.71084,0.17177
566.615940027910597,0.22439,0.33653,0.36349,0.24731,1070.00000,1.57863,-0.28132,0.06898,1.77551,0.15786
760.232529575605326,0.25317,0.37968,0.41554,0.28960,1214.50000,1.67798,-0.25655,0.09522,1.21659,0.16185
760.232529575605326,0.26176,0.39257,0.43134,0.29395,1309.50000,1.70914,-0.22939,0.08915,1.28302,0.17673
760.232529575605326,0.25702,0.38546,0.42261,0.28666,1230.00000,1.69186,-0.24709,0.08551,1.51295,0.17536
760.232529575605326,0.25317,0.37969,0.41555,0.28877,1353.50000,1.67798,-0.20495,0.05276,2.35938,0.20312
3910.061930965569445,0.38221,0.57322,0.66689,0.35227,1478.50000,2.23737,-0.11974,0.14429,1.57143,0.25181
3910.061930965569445,0.43026,0.64527,0.76877,0.36656,1548.00000,2.51039,-0.09841,0.17779,1.62462,0.27339
3910.061930965569445,0.38019,0.57017,0.66270,0.34303,1431.50000,2.22678,-0.13455,0.15408,1.46689,0.24017
3910.061930965569445,0.41237,0.61844,0.73027,0.36125,1519.00000,2.40351,-0.10458,0.16396,1.60383,0.26642
2166.829425099023865,0.33929,0.50885,0.57985,0.32414,1411.00000,2.02706,-0.16178,0.11282,1.85106,0.23549
2166.829425099023865,0.33136,0.49694,0.56414,0.31191,1345.00000,1.99113,-0.17690,0.12639,1.54023,0.21392
2166.829425099023865,0.31548,0.47313,0.53308,0.31019,1326.50000,1.92176,-0.17847,0.10418,1.81567,0.21848
2166.829425099023865,0.30409,0.45606,0.51108,0.29275,1308.00000,1.87395,-0.17465,0.10231,1.71429,0.20826
2754.603927941057464,0.37275,0.55902,0.64739,0.34509,1442.00000,2.18852,-0.12026,0.14685,1.64966,0.23898
2754.603927941057464,0.39700,0.59539,0.69774,0.34949,1462.50000,2.31677,-0.11632,0.17899,1.31624,0.23469
4082.358176064673444,0.38318,0.57466,0.66889,0.34640,1495.00000,2.24242,-0.09395,0.11501,2.35874,0.28053
4082.358176064673444,0.38004,0.56995,0.66239,0.34163,1420.50000,2.22600,-0.12595,0.13641,1.81538,0.25695
2754.603927941057464,0.33132,0.49689,0.56407,0.31399,1322.50000,1.99098,-0.15543,0.12568,1.75294,0.21458
2754.603927941057464,0.33945,0.50908,0.58016,0.32496,1430.00000,2.02778,-0.11639,0.10431,1.99541,0.24377
2754.603927941057464,0.36797,0.55185,0.63760,0.33474,1458.00000,2.16438,-0.11174,0.12966,1.65134,0.25025
4082.358176064673444,0.46268,0.69390,0.84033,0.39914,1735.50000,2.72215,-0.02900,0.17442,1.87273,0.31356
4082.358176064673444,0.44492,0.66726,0.80084,0.37924,1642.50000,2.60307,-0.05552,0.17267,1.72699,0.29490
4082.358176064673444,0.38147,0.57210,0.66536,0.35233,1418.00000,2.23350,-0.11696,0.14525,1.73022,0.25009
2754.603927941057464,0.33808,0.50703,0.57744,0.31653,1415.00000,2.02151,-0.13761,0.10275,1.83099,0.24380
4508.982232189006027,0.36311,0.54456,0.62770,0.32276,1438.50000,2.14025,-0.09954,0.12562,1.97619,0.24884
1466.680577680893293,0.31021,0.46523,0.52287,0.30772,1266.50000,1.89945,-0.18762,0.10485,1.85849,0.21227
